"AOI Pair","Transition Count","Transition Proportion"
"Turn Coordinator -> Heading","3","0.013636363636363636"
"Airspeed -> Vertical Speed","1","0.004545454545454545"
"Horizontal Altitude -> Airspeed","21","0.09545454545454546"
"MSL Altitude -> Horizontal Altitude","12","0.05454545454545454"
"Outside -> Horizontal Altitude","5","0.022727272727272728"
"MSL Altitude -> Vertical Speed","7","0.031818181818181815"
"Airspeed -> Horizontal Altitude","24","0.10909090909090909"
"Horizontal Altitude -> Turn Coordinator","2","0.00909090909090909"
"Heading -> Airspeed","13","0.05909090909090909"
"Vertical Speed -> Airspeed","1","0.004545454545454545"
"Horizontal Altitude -> Outside","3","0.013636363636363636"
"Heading -> MSL Altitude","2","0.00909090909090909"
"Horizontal Altitude -> Heading","23","0.10454545454545454"
"Outside -> MSL Altitude","4","0.01818181818181818"
"Horizontal Altitude -> Vertical Speed","3","0.013636363636363636"
"Horizontal Altitude -> MSL Altitude","11","0.05"
"Turn Coordinator -> Outside","1","0.004545454545454545"
"Heading -> Outside","2","0.00909090909090909"
"Turn Coordinator -> Airspeed","2","0.00909090909090909"
"Heading -> Horizontal Altitude","24","0.10909090909090909"
"Airspeed -> Outside","16","0.07272727272727272"
"Airspeed -> Heading","3","0.013636363636363636"
"Airspeed -> Turn Coordinator","2","0.00909090909090909"
"MSL Altitude -> Outside","2","0.00909090909090909"
"Heading -> Vertical Speed","2","0.00909090909090909"
"Outside -> Airspeed","16","0.07272727272727272"
"Heading -> Turn Coordinator","1","0.004545454545454545"
"Vertical Speed -> MSL Altitude","4","0.01818181818181818"
"MSL Altitude -> Airspeed","2","0.00909090909090909"
"Vertical Speed -> Horizontal Altitude","4","0.01818181818181818"
"MSL Altitude -> Heading","3","0.013636363636363636"
"Outside -> Turn Coordinator","1","0.004545454545454545"
